"Time","Location","Campus","Involvment","Faith","Formation_Helpful","Eff_Comm","Relations","cg_SMU","cg_Summit","cg_Other","cg_Dal","cg_Social","cg_Parish","cg_MW","cg_Gathering","cg_Households","com_Broad group chat","com_Social media posts","com_Email","com_Physical invites","com_Word of mouth","com_Multiple specific group chats","com_Other (please indicate)","dsc_Prayer","dsc_Mission","dsc_Mass","dsc_Confession","dsc_Fasting","dsc_Community","dsc_Scripture","dsc_Worship","dsc_Examen","dsc_Giving","dsc_Formation","dsc_Sabbath","dsc_Other","fhops_Evangelization and discipleship","fhops_Deeper relationships","fhops_Building community","fhops_Living an unhurried life","fhops_Mental health","fhops_Discernment","fhops_Theology","fhops_Biblical finances","fhops_Rule of Life (fasting","fhops_Sabbath","fhops_prayer etc.)","fhops_Hearing God's voice","fhops_God the Father","fhops_Other (please indicate)","frm_Sabbath Course","frm_Men's and Women's formation","frm_Mass on campus","frm_Welcome Week Worship","frm_No formation","frm_CCO Growth","frm_CCO Trust","frm_CCO Fall Retreat","frm_CCO Source","frm_Advent Retreat","frm_CCO Discovery","frm_CCO Commission","frm_Other formation (please indicate)","ftop_Community life","ftop_Relationship with Jesus","ftop_Power of the Holy Spirit","ftop_Personal prayer/examen","ftop_Leadership","ftop_Evangelization","ftop_Sabbath","ftop_Rule of Life","ftop_Surrender and trust","ftop_Deep discipleship","ftop_Sacramental life","ftop_Other (please indicate)","srv_Parish ministry","srv_I didn't serve in ministry","srv_CCO Exec ","srv_CCO Events","srv_HCC Volunteering (ex. CLT)","srv_Leading a faith study","srv_Other (please indicate)"
"2023-03-22 12:18:10 -0300","Halifax","SMU","Casual","Missionary","Beneficial","Moderately helpful","3 to 6",1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2023-03-22 12:18:57 -0300","Halifax","Working","Impressions","Maturing","Beneficial","Informative","3 to 6",0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2023-03-22 12:19:14 -0300","Halifax","Dalhousie","Casual","Missionary","Helpful","Moderately helpful","3 to 6",0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0
"2023-03-22 12:19:27 -0300","International","Dalhousie","Casual","New","Helpful","Moderately helpful","3 to 6",0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"2023-03-22 12:23:19 -0300","International","Dalhousie","Committed","Missionary","Change","Informative","3 to 6",1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0
"2023-03-22 12:24:16 -0300","International","Dalhousie","Engaged","Maturing","Helpful","Very helpful","More than 10",0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
"2023-03-22 12:27:12 -0300","Halifax","Working","Committed","Maturing","Beneficial","Informative","1 or 2",1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"2023-03-22 12:33:14 -0300","Halifax","SMU","Committed","Maturing","Change","Informative","7 to 10",1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0
"2023-03-22 12:41:00 -0300","Halifax","NSCC","Engaged","Maturing","Change","Very helpful","More than 10",0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"2023-03-22 12:49:35 -0300","Halifax","SMU","Committed","Missionary","Change","Informative","7 to 10",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0
"2023-03-22 12:50:59 -0300","Halifax","SMU","Committed","Missionary","Helpful","Informative","More than 10",1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0
"2023-03-22 12:52:48 -0300","Halifax","Working","Casual","Maturing","Helpful","Informative","3 to 6",0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"2023-03-22 13:47:55 -0300","Halifax","Dalhousie","Engaged","Maturing","Change","Very helpful","More than 10",0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1
"2023-03-22 14:11:40 -0300","International","Dalhousie","Engaged","Maturing","Helpful","Informative","3 to 6",0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0
"2023-03-22 14:38:37 -0300","Halifax","Dalhousie","Engaged","Missionary","Helpful","Informative","3 to 6",0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0
"2023-03-22 15:51:48 -0300","Halifax","NSCC","Committed","Missionary","Helpful","Informative","7 to 10",0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
"2023-03-22 16:59:53 -0300","Halifax","SMU","Committed","Missionary","Change","Informative","More than 10",1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0
"2023-03-22 19:01:42 -0300","Halifax","SMU","Engaged","Maturing","Change","Informative","7 to 10",1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0
"2023-03-22 19:05:22 -0300","Elsewhere in Canada","SMU","Committed","Missionary","Helpful","Informative","7 to 10",1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0
"2023-03-22 19:08:17 -0300","Halifax","SMU","Engaged","Missionary","Change","Informative","7 to 10",1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"2023-03-22 19:10:40 -0300","Halifax","SMU","Engaged","New","Helpful","Informative","1 or 2",1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"2023-03-23 14:10:15 -0300","Halifax","Working","Committed","Missionary","Helpful","Informative","7 to 10",1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1
"2023-03-27 17:09:12 -0300","International","Dalhousie","Engaged","Maturing","Helpful","Informative","1 or 2",0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2023-03-28 10:13:01 -0300","Other Maritime provinces","SMU","Engaged","Missionary","Helpful","Moderately helpful","7 to 10",1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
"2023-03-28 11:48:18 -0300","Halifax","SMU","Casual","Maturing","Helpful","Very helpful","More than 10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"2023-03-28 11:52:20 -0300","Elsewhere in Canada","SMU","Engaged","Maturing","Beneficial","Informative","3 to 6",1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2023-03-28 11:54:31 -0300","Halifax","SMU","Engaged","New","Helpful","Informative","More than 10",1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"2023-03-28 11:56:31 -0300","Halifax","SMU","Casual","Maturing","Helpful","Moderately helpful","1 or 2",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
"2023-03-28 11:56:35 -0300","Halifax","SMU","Committed","Maturing","Change","Informative","7 to 10",1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0
"2023-03-28 12:04:06 -0300","Halifax","SMU","Impressions","Maturing","Helpful","Informative","More than 10",1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"2023-03-28 12:34:52 -0300","Halifax","Dalhousie","Engaged","Maturing","Helpful","Moderately helpful","3 to 6",0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0
"2023-03-28 12:54:15 -0300","Halifax","SMU","Engaged","Maturing","Helpful","Informative","7 to 10",1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
"2023-03-28 13:24:53 -0300","Halifax","Dalhousie","Casual","Maturing","Helpful","Moderately helpful","1 or 2",0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"2023-03-28 15:00:20 -0300","Other Maritime provinces","Dalhousie","Engaged","Maturing","Helpful","Moderately helpful","1 or 2",0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"2023-03-28 15:33:58 -0300","Halifax","SMU","Casual","New","None","Informative","3 to 6",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2023-03-28 16:13:02 -0300","Halifax","Dalhousie","Engaged","Missionary","Helpful","Very helpful","More than 10",0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
"2023-03-28 16:26:00 -0300","Halifax","Working","Engaged","Missionary","Helpful","Informative","More than 10",1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2023-03-28 16:35:30 -0300","Halifax","Working","Engaged","Maturing","Helpful","Very helpful","3 to 6",1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"2023-03-28 16:44:01 -0300","Elsewhere in Canada","Dalhousie","Engaged","Missionary","Change","Informative","More than 10",0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
"2023-03-28 17:20:28 -0300","Halifax","Working","Engaged","Missionary","Beneficial","Moderately helpful","3 to 6",0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0
"2023-03-28 19:55:16 -0300",NA,"SMU","Engaged","Maturing","Helpful","Moderately helpful","More than 10",1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"2023-03-29 14:22:31 -0300","Halifax","Working","Casual","Missionary","Helpful","Very helpful","1 or 2",0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"2023-03-30 13:51:40 -0300","Halifax","SMU","Engaged","Maturing","Change","Informative","7 to 10",1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0
"2023-03-30 13:56:52 -0300","Halifax","SMU","Casual","Maturing","Helpful","Moderately helpful","3 to 6",1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"2023-03-30 14:07:56 -0300","Halifax","SMU","Casual","New","Helpful","Moderately helpful","3 to 6",1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"2023-04-11 14:55:06 -0300","Halifax","SMU","Engaged","Maturing","Helpful","Very helpful","7 to 10",1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
